UserID,Timestamp,Academic_level,Gender,Age_group,Exp_ARVR,Globe_usage_frequency,Have_used_VisionPro
1,23/4/2025 15:25,Graduate Student,Man,30-40,I have no experience,Once every few years,I have never used the Apple Vision Pro
2,23/4/2025 16:42,Graduate Student,Man,20-30,Familiar (5-20 hours experience),Once every few years,I have never used the Apple Vision Pro
3,24/4/2025 11:14,Graduate Student,Man,30-40,I have no experience,Once every few years,I have never used the Apple Vision Pro
4,25/4/2025 11:29,Graduate Student,Man,20-30,Beginner (less than 5 hours experience),A few times a month,I have never used the Apple Vision Pro
5,25/4/2025 19:14,Graduate Student,Man,20-30,I have no experience,A few times a year,I have never used the Apple Vision Pro
6,26/4/2025 9:23,Graduate Student,Man,20-30,Beginner (less than 5 hours experience),Once every few years,I have never used the Apple Vision Pro
7,26/4/2025 10:22,Graduate Student,Man,30-40,Beginner (less than 5 hours experience),Once every few years,I have never used the Apple Vision Pro
8,30/4/2025 15:54,Graduate Student,Man,40-50,Beginner (less than 5 hours experience),Once every few years,I have never used the Apple Vision Pro
9,30/4/2025 17:06,Undergraduate Student,Woman,30-40,I have no experience,Once every few years,I have never used the Apple Vision Pro
10,1/5/2025 17:22,Postdoctoral Researcher,Man,30-40,I have no experience,A few times a year,I have never used the Apple Vision Pro
11,2/5/2025 20:32,Graduate Student,Woman,20-30,Familiar (5-20 hours experience),Once every few years,I have never used the Apple Vision Pro
12,6/5/2025 9:04,Graduate Student,Man,20-30,Familiar (5-20 hours experience),A few times a year,I have used the Apple Vision Pro once or twice
