UserID,Timestamp,Mentally_demanding,Physically_demanding
1,23/4/2025 15:33,3. Low mental effort,2. Light
2,23/4/2025 16:49,"1. Very, very low mental effort",1. Very light
3,24/4/2025 11:20,5. Neither low nor high mental effort,5. Difficult
4,25/4/2025 11:37,"1. Very, very low mental effort",0. No exertion
5,25/4/2025 19:20,4. Rather low mental effort,3. Moderate
6,26/4/2025 9:36,3. Low mental effort,3. Moderate
7,26/4/2025 10:32,2. Very low mental effort,0.5. Noticable
8,30/4/2025 16:04,2. Very low mental effort,3. Moderate
9,30/4/2025 17:16,3. Low mental effort,0. No exertion
10,1/5/2025 17:38,6. Rather high mental effort,4. Somewhat difficult
11,2/5/2025 20:39,6. Rather high mental effort,5. Difficult
12,6/5/2025 9:08,6. Rather high mental effort,4. Somewhat difficult
