UserID,Timestamp,Mentally_demanding,Physically_demanding
1,23/4/2025 16:00,2. Very low mental effort,1. Very light
2,23/4/2025 17:01,6. Rather high mental effort,0. No exertion
3,24/4/2025 11:45,4. Rather low mental effort,3. Moderate
4,25/4/2025 11:46,"1. Very, very low mental effort",0. No exertion
5,25/4/2025 19:43,6. Rather high mental effort,6
6,26/4/2025 9:45,5. Neither low nor high mental effort,2. Light
7,26/4/2025 11:06,2. Very low mental effort,0.5. Noticable
8,30/4/2025 16:15,4. Rather low mental effort,4. Somewhat difficult
9,30/4/2025 17:51,"1. Very, very low mental effort",0. No exertion
10,1/5/2025 17:55,7. High mental effort,2. Light
11,2/5/2025 20:53,3. Low mental effort,2. Light
12,6/5/2025 9:21,8. Very high mental effort,2. Light
